px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	0
0	-4.63554e-310	0	0	0	0	0	0	0	0	0	0
1.55943	-0.240912	1.94508	4.14656e-05	5.11569e-05	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	-3.14315
1.36739	-0.445467	1.65837	0.00779932	0.00968316	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	0.196073
3.88225	-0.15076	2.84831	1.29907	0.731991	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	1.15454
3.94806	0.048162	4.23652	0.972809	0.527347	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	5.66784
6.85285	0.434434	1.44036	0.603408	0.107953	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	3.43183
6.79031	0.482366	2.61729	0.579577	0.0729559	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	4.13618
9.06903	0.631572	1.8023	-0.0483754	-0.420338	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	2.38886
9.05904	0.710717	2.45697	-0.0142411	-0.392277	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.88037
11.5626	1.61433	2.36388	0.452427	0.198795	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	3.51311
11.549	1.57942	2.59534	0.425713	0.169247	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.520867
13.5941	2.32699	2.15208	0.388491	0.0277065	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0.336881
13.6201	2.29684	2.54264	0.355013	0.00217469	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	0.936649
16.6203	2.9118	3.39875	0.0900792	-0.1835	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	0.95954
16.5359	2.88919	2.8595	0.0931167	-0.185871	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	1.4996
19.0159	3.68377	2.56994	0.318765	0.0965711	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.852446
19.0823	3.70513	2.57179	0.332152	0.108292	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.32373
21.3298	4.72837	2.49203	0.515912	0.159883	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.194117
21.3862	4.73961	2.89511	0.473465	0.12527	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.854921
24.069	5.58331	2.89562	0.272374	-0.0944734	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.503292
24.175	5.61725	3.10972	0.25934	-0.103658	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	2.85257
26.6174	6.94461	2.73853	0.528042	0.154946	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0.779658
26.6171	6.93888	3.05113	0.514066	0.133663	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.310894
29.5692	8.09857	3.34303	0.326815	-0.0974597	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0.638638
29.548	8.09361	3.08906	0.333866	-0.0925933	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.186422
31.9521	9.85735	2.94069	0.715507	0.239684	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	1.15687
31.9142	9.83529	3.03191	0.701461	0.221114	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.738411
34.5933	10.7284	2.52797	0.269508	-0.243167	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	2.38532
34.6996	10.7726	2.97156	0.245747	-0.256402	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.68517
37.1489	12.0624	2.68666	0.481298	0.0862282	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	1.27017
37.2351	12.0873	3.05861	0.485047	0.0819308	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.61032
40.3101	13.4674	3.69716	0.396393	-0.0419881	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	0.478462
40.2248	13.4392	3.09382	0.413298	-0.0279183	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	1.64086
42.7707	14.8239	3.02122	0.515579	0.0633749	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.0905847
42.7529	14.8194	3.15962	0.511763	0.0567196	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.259767
45.3554	16.5479	3.32914	0.628112	0.0981973	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.0373774
45.3982	16.5629	3.26876	0.629563	0.103204	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0.684568
48.1487	17.3115	2.56441	0.210895	-0.262364	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	1.65482
48.1323	17.3144	2.76525	0.218877	-0.251831	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.298342
50.6216	19.0239	2.86062	0.761586	0.310249	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	3.25858
50.6115	19.0079	3.09337	0.74085	0.280557	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.330307
53.6889	19.9275	2.82404	0.160323	-0.328835	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	3.96087
53.6576	19.9166	2.79864	0.169364	-0.321167	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.272114
56.0359	21.0565	2.49906	0.450912	0.101306	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	1.89991
56.013	21.0428	2.6793	0.440277	0.0878763	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0.41188
